"","annees","service","salaire","echelon","domaine","sexe"
"51",28,28,126.621,"titulaire","applique","homme"
"52",12,11,108.875,"titulaire","applique","homme"
"53",11,3,74.692,"adjoint","applique","femme"
"54",16,9,106.639,"titulaire","applique","homme"
"55",12,11,103.76,"aggrege","applique","homme"
"56",14,5,83.9,"aggrege","applique","homme"
"57",23,21,117.704,"titulaire","applique","homme"
"58",9,8,90.215,"aggrege","applique","homme"
"59",10,9,100.135,"aggrege","applique","homme"
"60",8,3,75.044,"adjoint","applique","homme"
"61",9,8,90.304,"aggrege","applique","homme"
"62",3,2,75.243,"adjoint","applique","homme"
"63",33,31,109.785,"titulaire","applique","homme"
"64",11,11,103.613,"aggrege","applique","femme"
"65",4,3,68.404,"adjoint","applique","homme"
"66",9,8,100.522,"aggrege","applique","homme"
"67",22,12,101,"titulaire","applique","homme"
"68",35,31,99.418,"titulaire","applique","homme"
"69",17,17,111.512,"titulaire","applique","femme"
"70",28,36,91.412,"titulaire","applique","homme"
"71",17,2,126.32,"titulaire","applique","homme"
"72",45,45,146.856,"titulaire","applique","homme"
"73",29,19,100.131,"titulaire","applique","homme"
"74",35,34,92.391,"titulaire","applique","homme"
"75",28,23,113.398,"titulaire","applique","homme"
"76",8,3,73.266,"adjoint","applique","homme"
"77",17,3,150.48,"titulaire","applique","homme"
"78",26,19,193,"titulaire","applique","homme"
"79",3,1,86.1,"adjoint","applique","homme"
"80",6,2,84.24,"adjoint","applique","homme"
"81",43,28,150.743,"titulaire","applique","homme"
"82",17,16,135.585,"titulaire","applique","homme"
"83",22,20,144.64,"titulaire","applique","homme"
"84",6,2,88.825,"adjoint","applique","homme"
"85",17,18,122.96,"titulaire","applique","femme"
"86",15,14,132.825,"titulaire","applique","homme"
"87",37,37,152.708,"titulaire","applique","homme"
"88",2,2,88.4,"adjoint","applique","homme"
"89",25,25,172.272,"titulaire","applique","homme"
"90",9,7,107.008,"aggrege","applique","homme"
"91",10,5,97.032,"adjoint","applique","femme"
"92",10,7,105.128,"aggrege","applique","homme"
"93",10,7,105.631,"aggrege","applique","homme"
"94",38,38,166.024,"titulaire","applique","homme"
"95",21,20,123.683,"titulaire","applique","homme"
"96",4,0,84,"adjoint","applique","homme"
"97",17,12,95.611,"aggrege","applique","homme"
"98",13,7,129.676,"titulaire","applique","homme"
"99",30,14,102.235,"titulaire","applique","homme"
"100",41,26,106.689,"titulaire","applique","homme"
"101",42,25,133.217,"titulaire","applique","homme"
"102",28,23,126.933,"titulaire","applique","homme"
"103",16,5,153.303,"titulaire","applique","homme"
"104",20,14,127.512,"titulaire","applique","femme"
"105",18,10,83.85,"aggrege","theorique","homme"
"106",31,28,113.543,"titulaire","theorique","homme"
"107",11,8,82.099,"aggrege","theorique","homme"
"108",10,8,82.6,"aggrege","theorique","homme"
"109",15,8,81.5,"aggrege","theorique","homme"
"110",40,31,131.205,"titulaire","theorique","homme"
"111",20,16,112.429,"titulaire","theorique","homme"
"112",19,16,82.1,"aggrege","theorique","homme"
"113",3,1,72.5,"adjoint","theorique","homme"
"114",37,37,104.279,"titulaire","theorique","homme"
"115",12,0,105,"titulaire","theorique","femme"
"116",21,9,120.806,"titulaire","theorique","homme"
"117",30,29,148.5,"titulaire","theorique","homme"
"118",39,36,117.515,"titulaire","theorique","homme"
"119",4,1,72.5,"adjoint","theorique","homme"
"120",5,3,73.5,"adjoint","theorique","femme"
"121",14,14,115.313,"titulaire","theorique","homme"
"122",32,32,124.309,"titulaire","theorique","homme"
"123",24,22,97.262,"titulaire","theorique","homme"
"124",25,22,62.884,"aggrege","theorique","femme"
"125",24,22,96.614,"titulaire","theorique","homme"
"126",54,49,78.162,"titulaire","theorique","homme"
"127",28,26,155.5,"titulaire","theorique","homme"
"128",2,0,72.5,"adjoint","theorique","femme"
"129",32,30,113.278,"titulaire","theorique","homme"
"130",4,2,73,"adjoint","theorique","homme"
"131",11,9,83.001,"aggrege","theorique","homme"
"132",56,57,76.84,"titulaire","theorique","homme"
"133",10,8,77.5,"aggrege","theorique","femme"
"134",3,1,72.5,"adjoint","theorique","femme"
"135",35,25,168.635,"titulaire","theorique","homme"
"136",20,18,136,"titulaire","theorique","homme"
"137",16,14,108.262,"titulaire","theorique","homme"
"138",17,14,105.668,"titulaire","theorique","homme"
"139",10,7,73.877,"aggrege","theorique","homme"
"140",21,18,152.664,"titulaire","theorique","homme"
"141",14,8,100.102,"aggrege","theorique","homme"
"142",15,10,81.5,"aggrege","theorique","homme"
"143",19,11,106.608,"titulaire","theorique","homme"
"144",3,3,89.942,"adjoint","applique","homme"
"145",27,27,112.696,"titulaire","applique","homme"
"146",28,28,119.015,"titulaire","applique","homme"
"147",4,4,92,"adjoint","applique","homme"
"148",27,27,156.938,"titulaire","applique","homme"
"149",36,26,144.651,"titulaire","applique","femme"
"150",4,3,95.079,"adjoint","applique","homme"
"151",14,12,128.148,"titulaire","applique","homme"
"152",4,4,92,"adjoint","applique","homme"
"153",21,9,111.168,"titulaire","applique","homme"
"154",12,10,103.994,"aggrege","applique","femme"
"155",4,0,92,"adjoint","applique","homme"
"156",21,21,118.971,"titulaire","applique","homme"
"157",12,18,113.341,"aggrege","applique","homme"
"158",1,0,88,"adjoint","applique","homme"
"159",6,6,95.408,"aggrege","applique","homme"
"160",15,16,137.167,"titulaire","applique","homme"
"161",2,2,89.516,"adjoint","applique","homme"
"162",26,19,176.5,"titulaire","applique","homme"
"163",22,7,98.51,"aggrege","applique","homme"
"164",3,3,89.942,"adjoint","applique","homme"
"165",1,0,88.795,"adjoint","applique","homme"
"166",21,8,105.89,"titulaire","applique","homme"
"167",16,16,167.284,"titulaire","applique","homme"
"168",18,19,130.664,"titulaire","applique","homme"
"169",8,6,101.21,"aggrege","applique","homme"
"170",25,18,181.257,"titulaire","applique","homme"
"171",5,5,91.227,"adjoint","applique","homme"
"172",19,19,151.575,"titulaire","applique","homme"
"173",37,24,93.164,"titulaire","applique","homme"
"174",20,20,134.185,"titulaire","applique","homme"
"175",17,6,105,"aggrege","applique","homme"
"176",28,25,111.751,"titulaire","applique","homme"
"177",10,7,95.436,"aggrege","applique","homme"
"178",13,9,100.944,"aggrege","applique","homme"
"179",27,14,147.349,"titulaire","applique","homme"
"180",3,3,92,"adjoint","applique","femme"
"181",11,11,142.467,"titulaire","applique","homme"
"182",18,5,141.136,"titulaire","applique","homme"
"183",8,8,100,"aggrege","applique","homme"
"184",26,22,150,"titulaire","applique","homme"
"185",23,23,101,"titulaire","applique","homme"
"186",33,30,134,"titulaire","applique","homme"
"187",13,10,103.75,"aggrege","applique","femme"
"188",18,10,107.5,"titulaire","applique","homme"
"189",28,28,106.3,"aggrege","applique","homme"
"190",25,19,153.75,"titulaire","applique","homme"
"191",22,9,180,"titulaire","applique","homme"
"192",43,22,133.7,"titulaire","applique","homme"
"193",19,18,122.1,"titulaire","applique","homme"
"194",19,19,86.25,"aggrege","applique","homme"
"195",48,53,90,"aggrege","applique","homme"
"196",9,7,113.6,"aggrege","applique","homme"
"197",4,4,92.7,"adjoint","applique","homme"
"198",4,4,92,"adjoint","applique","homme"
"199",34,33,189.409,"titulaire","applique","homme"
"200",38,22,114.5,"titulaire","applique","homme"
"201",4,4,92.7,"adjoint","applique","homme"
"202",40,40,119.7,"titulaire","applique","homme"
"203",28,17,160.4,"titulaire","applique","homme"
"204",17,17,152.5,"titulaire","applique","homme"
"205",19,5,165,"titulaire","applique","homme"
"206",21,2,96.545,"titulaire","applique","homme"
"207",35,33,162.2,"titulaire","applique","homme"
"208",18,18,120,"titulaire","applique","homme"
"209",7,2,91.3,"adjoint","applique","homme"
"210",20,20,163.2,"titulaire","applique","homme"
"211",4,3,91,"adjoint","applique","homme"
"212",39,39,111.35,"titulaire","applique","homme"
"213",15,7,128.4,"titulaire","applique","homme"
"214",26,19,126.2,"titulaire","applique","homme"
"215",11,1,118.7,"aggrege","applique","homme"
"216",16,11,145.35,"titulaire","applique","homme"
"217",15,11,146,"titulaire","applique","homme"
"218",29,22,105.35,"aggrege","applique","homme"
"219",14,7,109.65,"aggrege","applique","femme"
"220",13,11,119.5,"titulaire","applique","homme"
"221",21,21,170,"titulaire","applique","homme"
"222",23,10,145.2,"titulaire","applique","homme"
"223",13,6,107.15,"aggrege","applique","homme"
"224",34,20,129.6,"titulaire","applique","homme"
"225",38,35,87.8,"titulaire","theorique","homme"
"226",20,20,122.4,"titulaire","theorique","homme"
"227",3,1,63.9,"adjoint","theorique","homme"
"228",9,7,70,"aggrege","theorique","homme"
"229",16,11,88.175,"titulaire","theorique","homme"
"230",39,38,133.9,"titulaire","theorique","homme"
"231",29,27,91,"titulaire","theorique","femme"
"232",26,24,73.3,"aggrege","theorique","femme"
"233",38,19,148.75,"titulaire","theorique","homme"
"234",36,19,117.555,"titulaire","theorique","femme"
"235",8,3,69.7,"adjoint","theorique","homme"
"236",28,17,81.7,"titulaire","theorique","homme"
"237",25,25,114,"titulaire","theorique","homme"
"238",7,6,63.1,"adjoint","theorique","femme"
"239",46,40,77.202,"titulaire","theorique","homme"
"240",19,6,96.2,"titulaire","theorique","homme"
"241",5,3,69.2,"adjoint","theorique","homme"
"242",31,30,122.875,"titulaire","theorique","homme"
"243",38,37,102.6,"titulaire","theorique","homme"
"244",23,23,108.2,"titulaire","theorique","homme"
"245",19,23,84.273,"titulaire","theorique","homme"
"246",17,11,90.45,"titulaire","theorique","femme"
"247",30,23,91.1,"titulaire","theorique","homme"
"248",21,18,101.1,"titulaire","theorique","homme"
"249",28,23,128.8,"titulaire","theorique","homme"
"250",29,7,204,"titulaire","theorique","homme"
"251",39,39,109,"titulaire","theorique","homme"
"252",20,8,102,"titulaire","theorique","homme"
"253",31,12,132,"titulaire","theorique","homme"
"254",4,2,77.5,"adjoint","theorique","femme"
"255",28,7,116.45,"titulaire","theorique","femme"
"256",12,8,83,"aggrege","theorique","homme"
"257",22,22,140.3,"titulaire","theorique","homme"
"258",30,23,74,"aggrege","theorique","homme"
"259",9,3,73.8,"adjoint","theorique","homme"
"260",32,30,92.55,"titulaire","theorique","homme"
"261",41,33,88.6,"aggrege","theorique","homme"
"262",45,45,107.55,"titulaire","theorique","homme"
"263",31,26,121.2,"titulaire","theorique","homme"
"264",31,31,126,"titulaire","theorique","homme"
"265",37,35,99,"titulaire","theorique","homme"
"266",36,30,134.8,"titulaire","theorique","homme"
"267",43,43,143.94,"titulaire","theorique","homme"
"268",14,10,104.35,"titulaire","theorique","homme"
"269",47,44,89.65,"titulaire","theorique","homme"
"270",13,7,103.7,"titulaire","theorique","homme"
"271",42,40,143.25,"titulaire","theorique","homme"
"272",42,18,194.8,"titulaire","theorique","homme"
"273",4,1,73,"adjoint","theorique","homme"
"274",8,4,74,"adjoint","theorique","homme"
"275",8,3,78.5,"adjoint","theorique","femme"
"276",12,6,93,"titulaire","theorique","homme"
"277",52,48,107.2,"titulaire","theorique","homme"
"278",31,27,163.2,"titulaire","theorique","homme"
"279",24,18,107.1,"titulaire","theorique","homme"
"280",46,46,100.6,"titulaire","theorique","homme"
"281",39,38,136.5,"titulaire","theorique","homme"
"282",37,27,103.6,"titulaire","theorique","homme"
"283",51,51,57.8,"titulaire","theorique","homme"
"284",45,43,155.865,"titulaire","theorique","homme"
"285",8,6,88.65,"aggrege","theorique","homme"
"286",49,49,81.8,"aggrege","theorique","homme"
"287",28,27,115.8,"titulaire","theorique","homme"
"288",2,0,85,"adjoint","theorique","homme"
"289",29,27,150.5,"titulaire","theorique","homme"
"290",8,5,74,"adjoint","theorique","homme"
"291",33,7,174.5,"titulaire","theorique","homme"
"292",32,28,168.5,"titulaire","theorique","homme"
"293",39,9,183.8,"titulaire","theorique","homme"
"294",11,1,104.8,"aggrege","theorique","homme"
"295",19,7,107.3,"titulaire","theorique","homme"
"296",40,36,97.15,"titulaire","theorique","homme"
"297",18,18,126.3,"titulaire","theorique","homme"
"298",17,11,148.8,"titulaire","theorique","homme"
"299",49,43,72.3,"titulaire","theorique","homme"
"300",45,39,70.7,"aggrege","theorique","homme"
"301",39,36,88.6,"titulaire","theorique","homme"
"302",27,16,127.1,"titulaire","theorique","homme"
"303",28,13,170.5,"titulaire","theorique","homme"
"304",14,4,105.26,"titulaire","theorique","homme"
"305",46,44,144.05,"titulaire","theorique","homme"
"306",33,31,111.35,"titulaire","theorique","homme"
"307",7,4,74.5,"adjoint","theorique","homme"
"308",31,28,122.5,"titulaire","theorique","homme"
"309",5,0,74,"adjoint","theorique","homme"
"310",22,15,166.8,"titulaire","theorique","homme"
"311",20,7,92.05,"titulaire","theorique","homme"
"312",14,9,108.1,"titulaire","theorique","homme"
"313",29,19,94.35,"titulaire","theorique","homme"
"314",35,35,100.351,"titulaire","theorique","homme"
"315",22,6,146.8,"titulaire","theorique","homme"
"316",6,3,84.716,"adjoint","applique","homme"
"317",12,9,71.065,"aggrege","applique","femme"
"318",46,45,67.559,"titulaire","applique","homme"
"319",16,16,134.55,"titulaire","applique","homme"
"320",16,15,135.027,"titulaire","applique","homme"
"321",24,23,104.428,"titulaire","applique","homme"
"322",9,9,95.642,"aggrege","applique","homme"
"323",13,11,126.431,"aggrege","applique","homme"
"324",24,15,161.101,"titulaire","applique","femme"
"325",30,31,162.221,"titulaire","applique","homme"
"326",8,4,84.5,"adjoint","applique","homme"
"327",23,15,124.714,"titulaire","applique","homme"
"328",37,37,151.65,"titulaire","applique","homme"
"329",10,10,99.247,"aggrege","applique","homme"
"330",23,23,134.778,"titulaire","applique","homme"
"331",49,60,192.253,"titulaire","applique","homme"
"332",20,9,116.518,"titulaire","applique","homme"
"333",18,10,105.45,"titulaire","applique","femme"
"334",33,19,145.098,"titulaire","applique","homme"
"335",19,6,104.542,"aggrege","applique","femme"
"336",36,38,151.445,"titulaire","applique","homme"
"337",35,23,98.053,"titulaire","applique","homme"
"338",13,12,145,"titulaire","applique","homme"
"339",32,25,128.464,"titulaire","applique","homme"
"340",37,15,137.317,"titulaire","applique","homme"
"341",13,11,106.231,"titulaire","applique","homme"
"342",17,17,124.312,"titulaire","applique","femme"
"343",38,38,114.596,"titulaire","applique","homme"
"344",31,31,162.15,"titulaire","applique","homme"
"345",32,35,150.376,"titulaire","applique","homme"
"346",15,10,107.986,"titulaire","applique","homme"
"347",41,27,142.023,"titulaire","applique","homme"
"348",39,33,128.25,"titulaire","applique","homme"
"349",4,3,80.139,"adjoint","applique","homme"
"350",27,28,144.309,"titulaire","applique","homme"
"351",56,49,186.96,"titulaire","applique","homme"
"352",38,38,93.519,"titulaire","applique","homme"
"353",26,27,142.5,"titulaire","applique","homme"
"354",22,20,138,"titulaire","applique","homme"
"355",8,1,83.6,"adjoint","applique","homme"
"356",25,21,145.028,"titulaire","applique","homme"
"357",49,40,88.709,"titulaire","theorique","homme"
"358",39,35,107.309,"titulaire","theorique","homme"
"359",28,14,109.954,"titulaire","theorique","femme"
"360",11,4,78.785,"adjoint","theorique","homme"
"361",14,11,121.946,"titulaire","theorique","homme"
"362",23,15,109.646,"titulaire","theorique","femme"
"363",30,30,138.771,"titulaire","theorique","homme"
"364",20,17,81.285,"aggrege","theorique","homme"
"365",43,43,205.5,"titulaire","theorique","homme"
"366",43,40,101.036,"titulaire","theorique","homme"
"367",15,10,115.435,"titulaire","theorique","homme"
"368",10,1,108.413,"aggrege","theorique","homme"
"369",35,30,131.95,"titulaire","theorique","homme"
"370",33,31,134.69,"titulaire","theorique","homme"
"371",13,8,78.182,"aggrege","theorique","homme"
"372",23,20,110.515,"titulaire","theorique","homme"
"373",12,7,109.707,"titulaire","theorique","homme"
"374",30,26,136.66,"titulaire","theorique","homme"
"375",27,19,103.275,"titulaire","theorique","homme"
"376",28,26,103.649,"titulaire","theorique","homme"
"377",4,1,74.856,"adjoint","theorique","homme"
"378",6,3,77.081,"adjoint","theorique","homme"
"379",38,38,150.68,"titulaire","theorique","homme"
"380",11,8,104.121,"aggrege","theorique","homme"
"381",8,3,75.996,"adjoint","theorique","homme"
"382",27,23,172.505,"titulaire","theorique","homme"
"383",8,5,86.895,"aggrege","theorique","homme"
"384",44,44,105,"titulaire","theorique","homme"
"385",27,21,125.192,"titulaire","theorique","homme"
"386",15,9,114.33,"titulaire","theorique","homme"
"387",29,27,139.219,"titulaire","theorique","homme"
"388",29,15,109.305,"titulaire","theorique","homme"
"389",38,36,119.45,"titulaire","theorique","homme"
"390",33,18,186.023,"titulaire","theorique","homme"
"391",40,19,166.605,"titulaire","theorique","homme"
"392",30,19,151.292,"titulaire","theorique","homme"
"393",33,30,103.106,"titulaire","theorique","homme"
"394",31,19,150.564,"titulaire","theorique","homme"
"395",42,25,101.738,"titulaire","theorique","homme"
"396",25,15,95.329,"titulaire","theorique","homme"
"397",8,4,81.035,"adjoint","theorique","homme"
